title,description,categories
ساختار نظریه‌های جامعه‌شناسی ایران,"«ساختار نظریه‌های جامعه‌شناسی ایران» نوشته ابوالفضل رمضانی(-۱۳۶۰)، دربردارنده ۱۶ نظریه درباره جامعه ایران از منظر اندیشمندانی همچون جواد طباطبایی، همایون کاتوزیان، احمد اشرف، پرویز پیران، حسین بشیریه و... است.
در بخشی از کتاب می‌خوانیم:
در تحلیل نظریه‌های جامعه‌شناسی ایران تاکید بیشتر بر خلاصه‌سازی دقیق نظریه‌ها با شکافتن اجزا و عناصر آنها است و تلاش می‌شود تا جایی که امکان دارد کمترین چیزی در خلاصه از قلم نیفتد. هدف این کتاب تلاش برای تجزیه نظریه‌های جامعه‌شناختی موجود درباره ایران، به ساختار اصلی آنها به منظور کمک به تحقیقات تجربی و آزمون همین نظریه‌ها است. اینها رویکردهایی نسبت به خود هستند که تلاش حاضر تحقیق پذیری نسبت به آنها را تسهیل می‌کند. علاوه بر این شفاف‌سازی نظریه‌های موجود و در کنار هم قرار دادن آنها کمک می‌کند تا به ویژگی‌های بنیادی حاکم بر روابط اجتماعی در ایران دست یابیم. تنها در این صورت است که می‌توانیم از اندیشه‌های سطحی رهایی پیدا کنیم و از دانش تولید شده برای اصلاح امور استفاده کنیم.
نشان‌دادن ساختارِ نظریه‌ها اجازه می‌دهد تا نظریه خودش سخن بگوید، به همین دلیل نیازی به نقد تحلیلی ندیدم. هر چند به دلیل قِلّت کارهای تحقیقی بر روی نظریه‌های موجود، امکان تحلیل انتقادی نظریه‌ها نیز وجود ندارد. نقد بی‌مایه و نادیده گرفتن نظریه‌های پیشین کمکی به پیشبردِ نظریه‌پردازی نمی‌کند.",جامعه‌شناسی
جامعه و فرهنگ کانادا,«جامعه و فرهنگ کانادا» از مجموعه کتاب‌های «جامعه و فرهنگ کشورها»ی نشر الهدی است که به معرفی کشور کانادا، مردم و فرهنگ و سازمان‌‌هاو نهادهای اجتماعی، سیاسی و فرهنگی این می‌پردازد.,جامعه‌شناسی
پرسش از موعود,"پرسش‌های مختلفی درباره زندگی و شخصیت امام مهدی (عج) در اذهان مردم وجود دارد. پرسش‌هایی که هر از چند گاه در میان دانش‌آموزان، دانشجویان و دیگر اقشار، مطرح و به دغدغه ذهنی آنها تبدیل می‌شود. با توجّه به فراوانی کسانی که در مجالس و محافل مختلف به طرح این پرسش‌ها می‌پردازند، در کتاب «پرسش از موعود»، ابراهیم شفیعی سروستانی، به چهارده پرسش درباره مهدویت پاسخ می‌دهد. پرسش‌هایی درباره فلسفه غیبت صغری، جزیره خضرا، یاران امام در دوران غیبت، وقت ظهور، فتنه دجال و...
خروج دجّال:
در روایات متعدّدی بر گریزناپذیر بودن خروج دجّال، به عنوان یکی از رویدادهای آخرالزّمان یا نشانه‌های قیامت، تأکید شده است. از جمله در روایتی که امیرمؤمنان علی (ع) از پیامبر گرامی اسلام (ص) نقل می‌کند، می‌خوانیم:
پیش از ساعت [قیامت] ده رویداد گریزناپذیر است: [خروج] سفیانی، [خروج] دجّال و...  
در برخی روایات، حتمی بودن خروج دجّال به مانند حتمی بودن ظهور امام مهدی (عج) دانسته شده و انکار آن کفر به شمار آمده است. از آن جمله می‌توان به روایت نبوی زیر اشاره کرد:
هر کس خروج مهدی را منکر شود به آنچه بر محمّد نازل گشته، کافر شده است و هر کس نزول عیسی را منکر شود کافر شده و هر کس خروج دجّال را انکار کند، کافر شده است.",کلیات اسلام
موج، دریا,«موج دریا» به قلم مهری ماهوتی (-۱۳۴۰) و تصویرگری عاطفه ملکی‌جو، داستانی مصور برای کودکان از مجموعه‌ی ده جلدی «چه مهربان است خدا» است.,داستان کودک و نوجوانان
پرسش از غرب,"«پرسش از غرب» به قلم دکتر اسماعیل شفیعی سروستانی، به نوعی تحلیل تفاوت‌های هستی‌شناسانه و جهان‌بینی غرب و شرق است. 
 در مقدمه چنین می‌خوانید:
اساساً این پرسش، پرسشی فلسفی است و در مقام نظر، ناظر بر درک شرایط تاریخی ویژه‌ای است، که گذار از آن، بی‌این پرسش ممکن نیست. پرسشی از این دست، در نقاط عطف مهم و تاریخی اقوام پیش می‌آید و پاسخ‌گویی بدان نیز بر عهدۀ عوام مردم نیست؛ در وظیفۀ دانشمندان، اربابان فن و حتّی سیاست‌مداران نیز نیست؛ بلکه متفکران و صاحبان‌نظر از میان آنان، مخاطب این پرسشند ـ به شرط آنکه مقام و رأیشان منشأ اثر باشد ـ پاسخ پرسش‌هایی چنین، جهت‌گیری‌های بزرگ و نسبت میان همه چیز و از جمله فرهنگ و تمدّن و مناسبات اجتماعی را معلوم می‌سازد؛ سرنوشت یک قوم را رقم می‌زند، مسیر آنان را در طی طریق می‌نماید و چگونه بودن در عرصۀ حیات را روشن می‌کند. 
در این مجموعه، نگارنده، ضمن طرح ضرورت پرسش، سعی در بیان جایگاه و موضوع پرسش دارد و در میان کلّیۀ ساکنان مشرق زمین، «ایران» اسلامی و شیعی مذهب را شایسته‌تر برای این امر می‌شناسد؛ زیرا سایر ملل شرقی و از جمله «چین» و «هند» و «ژاپن، در رویارویی با غرب متحمّل خسارات فرهنگی بسیار شده‌اند، لیکن حسب سابقه و جان‌مایۀ فرهنگیشان از امکان تجدید حیات فرهنگی برخوردار نیستند. این اقوام در نظام فکری و نظری، فاقد رویکردی بنیادین و جدّی به آینده‌اند. عموم فرهنگ‌ها و تمدّن‌های منسوخ و ممسوخ آسیایی و شرقی، دربارۀ کیفیت برکشیدن بنای تمدّنی و تنظیم معاملات و مناسبات فردی و جمعی، بر مبنای زیرساخت فکری و فرهنگی ساکتند و این امر آنها را از توانایی ایجاد یک جریان جدّی و نقطه عطف مهمّ تاریخی محروم نموده است.
 در این کتاب با نظر به مسپله غرب‌زدگی و پذیرش فرهنگ غربی در دوران تجدد پس از مشروطه  این کتاب پرسش هایی را در سه موضوع اساسی هستی شناسی ، انسان و طبیعت و در نهایت علم جدید مطرح کرده و دیدگاه غربی را به نقد و چالش کشیده‌است.",جامعه‌شناسی
خارج از خط,"«خارج از خط» مجموعه داستان کوتاهی نوشته محمود راجی، نویسنده معاصر ایرانی است.
در بخشی از داستان «خارج از خط» از این مجموعه می‌خوانیم:
نگاهی گذرا و بدون دقت به راننده و مسافرش می‌کنم. به هیچ چیز خاصی توجهی ندارم. بدون قصد و هدف، ماشین‌ها و آدم‌ها را از نظر می‌گذرانم، ولی گوشم به مشاجره‌ی لفظی بین آن دو جلب می‌شود. وقتی نگاهم دوباره به آن‌ها برمی‌گردد، متوجه می‌شوم با آن که به شدت با هم مشاجره می‌کنند، ولی نگاهشان به سمت من است. دختر همراه مسافر هم ضمن آن که گریه می‌کند، مرا می‌پاید... به آن‌ها نزدیک می‌شوم.
راننده با پرخاش می‌گوید: غلط می‌کنی پول نداشتی این همه راه مرا کشاندی و آوردی.
خانم مسافر، ضمن گریه‌ای شدید، می‌گوید: شما فرض کن برادر من، پدر من هستی. چرا باعث آبروی خواهرت می‌شوی.
راننده می‌گوید: چه برادری، چه خواهری، چه کشکی! اگر همه‌ی مسافرهایم، خواهر و برادرم باشند که بچه‌هایم از گرسنگی می‌میرند.
مسافر: حالا یکی که هزارتا نمی‌شود.
راننده (ادا در می‌آورد) : حالا یکی، خواهر، که هزارتا نمی‌شود. تو بیا کرایه‌ی مرا دو برابر بده.
با آن‌که ضمن مشاجره‌ی لفظی همدیگر را خطاب می‌کنند، ولی همدیگر را نگاه نمی‌کنند. بیشتر نگاه‌شان به من است، گویی دارند با من حرف می‌زنند. شاید از من می‌خواهند که مداخله کنم و دعوا را تمام کنم... در همین فکرم که مسافر کاملاً رو می‌کند به من و می‌گوید:
ـ حاجی آقا، شما چیزی به این برادر بگویید...
قبل از این که من چیزی بپرسم یا چیزی بگویم، راننده علت مشاجره را توضیح می‌دهد و خانم مسافر هم از او می‌خواهد که از کرایه‌اش صرف‌نظر کند.
می‌پرسم: کرایه‌ی این خانم چه‌قدر می‌شود؟
راننده: سه هزارتا.",داستان کوتاه
لاک صورتی,«لاک صورتی» نوشته جلال آل احمد(۱۳۴۸-۱۳۰۲) نویسنده و فعال اجتماعی معاصر ایران و از مجموعه مطالعه در وقت اضافه است.,داستان کوتاه
راهبردهای سرمایه گذاری کسب و کار,"راه‌های بسیار زیادی برای سرمایه‌گذاری در دنیا وجود دارد. ما در یک دوره خارق‌العاده از تاریخ بشر زندگی می‌کنیم که هزاران زمینه سرمایه‌گذاری برای ما فراهم شده است. بسیاری از آنها سردرگم کننده‌اند و درک و فهم آنها بسیار دشوار است.
مارک ویکتو.ر هانسن در این کتاب صوتی از راهبردهای سرمایه گذاری کسب‌وکار می‌گوید:
سرمایه‌گذاری، نخستین و پایه‌ای‌ترین ابزار برای رشد ثروت است. شما از طریق سرمایه‌گذاری، حجم پول خود را به مقداری بیش از آنچه که هم اکنون است، افزایش می‌دهید.
یکی از زیباترین وجوه کسب‌وکار و تجارت آن است که می‌توان آن را تماماً بر اساس پول سایر افراد اجرا کرد.",مدیریت و کسب و کار
تحلیل گفتمان و نظرات رسانه‌های بریتانیا: چهره‌ی اسلام در آیینه‌ی مطبوعات,"با شکل‌گیری و رشد روز افزون دهکده جهانی، بشر بیش از هر زمانی نسبت به هم‌نوع خود بیگانه شده و ریشه بسیاری از مشکلات و منازعات به دلیل نبود درک صحیح از یکدیگر و شناخت ناقص از درک و فهم مشترک فرهنگی بین جوامع باز می‌گردد. 
کتاب «تحلیل گفتمان و نظرات رسانه‌های بریتانیا: چهره‌ی اسلام در آیینه‌ی مطبوعات» که توسط آقایان «پل بیکر، کاستاس گابریلاتوس، تونی مک انری» نوشته شده است.
 در این کتاب سعی شده ضمن بهر‌گیری ازپژوهش و رایزنی‌های فرهنگی جمهوری اسلامی ایران در خارج از کشور، از نظران بزرگان و صاحب نظران نیز در این حوزه استفاده کند تا در مسیر آگاهی‌بخشی و شناخت بیشتر خوانندگان موثر و مفید واقع شود.",کلیات اسلام
رویکردی جدید به اختلالات مصرف مواد و مشاوره‌ی اعتیاد,"«رویکردی جدید به اختلالات مصرف مواد و مشاوره‌ی اعتیاد» اثر فورد بروکس و بیل ام.سی هنری، کتابی است که خوانندگان را با آخرین روش‌های ترک اعتیاد به موادمخدر و الکل آشنا می‌کند. هدف نهایی از نگارش این کتاب آن است که رفتارهای مشکل‌ساز و اعتیادآور تغییر کند و رفتارهای جدید و سازگارانه آموخته شود.
فورد بروکس، پروفسور دانشکده‌ی مشاوره و کارمند دانشگاه شیپنزبورگ در پنسیلوانیا می‌باشد. ایشان یک برنامه‌ی بهداشت روانی بالینی و همچنین عملی و کارآموزی تخصصی را در دپارتمان مشاوره را برنامه‌ریزی کرد. بروکس مشاوره، سرپرستی و سرویس‌های آموزشی برای درمان‌جویان را درکمپ‌ها، آژانس‌ها و مدارس منطقه‌ی جنوب مرکزی پنسیلوانیا ارائه داد. بروکس دکترای خود را در رشته‌ی مشاوره از دانشگاه ویلیام و ماری، فوق‌لیسانس خود را در رشته‌ی توان‌بخشی از دانشگاه ویرجینیا (با گرایش مشاوره‌ی توان‌بخشی الکل و مواد) و لیسانس روان‌شناسی خود را از دانشگاه ریچموند دریافت کرده‌است. 
بیل ام سی هنری، رئیس تحصیلات تکمیلی و پژوهشی در دانشگاه تگزاس (Texarkana) است. دکترای او در آموزش مشاوره در دانشگاه داکوتای جنوبی است. ام سی هنری به مدت ۱۶ سال مشاور تخصصی بوده‌است. تجربه‌ی تخصصی او در حوزه‌ی درمان‌جویان (به صورت فردی، گروهی، زوجی و خانوادگی) با سوء مصرف مواد، مشکلات اعتیاد در مدارس، دانشگاهها، برنامه‌های توان‌بخشی، آژانس‌های روانی - سلامتی و مراکز مشاوره‌ی دانشگاه بوده‌است.",جامعه‌شناسی
